# Star 3 - Telescope kepler - Campaign 2
# Time Flux Error
# days relative_flux relative_error
2.083125 1.05482700 0.004323
2.088981 1.01254167 0.004181
2.095545 1.00936843 0.005627
2.116526 1.02571902 0.005037
2.122567 1.02238688 0.006557
2.132229 1.02245785 0.003273
2.142730 1.01103540 0.006956
2.162487 1.01159385 0.007774
2.238735 1.00388613 0.005474
2.266693 1.00278710 0.004579
2.327061 1.01239603 0.007953
2.328931 1.00656202 0.005360
2.345845 1.02442800 0.004447
2.353970 1.01153862 0.005793
2.355024 1.01705521 0.007463
2.372362 1.01871556 0.006638
2.394139 0.99928649 0.006210
2.426927 1.00781967 0.005907
2.432968 1.00816720 0.006791
2.461006 1.01297141 0.004096
2.498790 1.01986685 0.003049
2.507904 1.00590263 0.005049
2.516375 1.00843685 0.007541
2.520553 1.01140092 0.007660
2.526668 1.00726069 0.003689
2.537130 1.01090099 0.004334
2.557265 1.01304318 0.004711
2.562998 1.00596745 0.007596
2.573059 1.00828003 0.004620
2.592550 1.00635237 0.007340
2.596856 1.00630453 0.005968
2.664343 1.01550410 0.004609
2.673448 1.00197067 0.004738
2.722576 1.00738946 0.006125
2.744673 1.00173801 0.007685
2.751498 1.00759197 0.003631
2.765379 1.00681325 0.006859
2.784340 1.00331259 0.003792
2.823642 1.00902871 0.006820
2.844151 1.00214145 0.003106
2.920768 1.00030888 0.004967
2.963145 1.00049993 0.003563
2.992470 1.00742397 0.003835
3.005079 0.99749523 0.005682
3.028247 1.00567898 0.005010
3.030911 1.00315687 0.004470
3.076172 1.00241310 0.003763
3.135636 0.99760382 0.006327
3.167121 1.00310491 0.005393
3.187296 0.99981657 0.005485
3.207572 0.98713618 0.004964
3.210885 0.99281685 0.007040
3.220065 0.99663211 0.004508
3.229111 1.00626123 0.004856
3.234155 1.01393682 0.007271
3.329780 1.00342982 0.007182
3.332734 1.00761967 0.007143
3.339953 0.99436409 0.007526
3.350621 0.99721294 0.004042
3.353680 1.00450920 0.004721
3.376419 0.99245111 0.006107
3.390392 1.00379564 0.007220
3.398742 0.99390855 0.007169
3.419226 0.99125167 0.005680
3.425779 0.99956335 0.005178
3.426703 0.99310699 0.003187
3.467967 0.99328456 0.005272
3.480901 1.00396084 0.004500
3.495305 0.99799308 0.006213
3.525503 0.99586797 0.007643
3.542693 0.99974835 0.005085
3.555741 0.99852144 0.006657
3.556799 1.00770085 0.007063
3.559270 0.98836337 0.004962
3.565806 0.98866773 0.003189
3.624692 0.99645588 0.005520
3.633801 1.00873307 0.007519
3.693491 0.99834038 0.005105
3.708080 0.99580079 0.006834
3.725126 0.99946402 0.004252
3.744912 0.98869979 0.004010
3.745668 1.00257771 0.004431
3.762112 0.99510618 0.006889
3.773866 1.00647140 0.004906
3.800329 1.00840447 0.007982
3.829526 1.00546323 0.006610
3.838306 1.00292426 0.006415
3.866055 1.00049776 0.005500
3.872112 0.99625412 0.006074
3.964079 1.00526934 0.005051
3.999474 1.00276212 0.006918
4.002678 1.00139245 0.003222
4.004215 1.00186527 0.003604
4.006610 0.99941353 0.004945
4.015014 0.99537194 0.006694
4.016327 0.99766736 0.003925
4.063944 1.00478688 0.005607
4.112168 1.00382108 0.004747
4.116445 1.00278339 0.005907
4.192325 1.00434817 0.006632
4.262165 0.99516058 0.003746
4.267092 0.99360783 0.007258
4.286795 0.99304427 0.003226
4.326553 1.00029798 0.003632
4.331619 1.00794951 0.003924
4.369330 0.99758352 0.003519
4.391853 1.00190486 0.003925
4.406644 0.99666654 0.006553
4.441327 0.96293956 0.007361
4.478316 0.99657588 0.003048
4.491014 1.00067006 0.004363
4.550818 0.99450682 0.007473
4.585347 0.99797550 0.005597
4.610783 0.99813010 0.005006
4.616806 0.99660748 0.004162
4.630906 1.00036682 0.003120
4.655635 1.00417203 0.004532
4.663244 1.00555453 0.007074
4.665020 0.99676652 0.003741
4.669376 1.00190201 0.003078
4.675565 0.99091320 0.007843
4.681392 0.99342334 0.003508
4.720970 0.99529682 0.004775
4.734659 0.99446126 0.005179
4.737447 0.99349019 0.007462
4.765956 0.99208812 0.005317
4.784597 0.99987692 0.004542
4.795625 0.99163933 0.007446
4.796461 1.00019481 0.005177
4.819303 1.00677105 0.004066
4.857603 0.99388868 0.005362
4.869169 1.00420270 0.004625
4.915725 0.99034923 0.004743
4.924275 0.99524377 0.007003
4.951983 0.98962613 0.003976
4.968820 0.99912956 0.006041
4.992689 0.99985449 0.006652
4.993310 0.99666709 0.003458
4.995356 0.99469743 0.007456
5.017977 0.99958418 0.006129
5.024849 0.99911679 0.004601
5.043312 0.99670224 0.003987
5.124332 0.99010062 0.007309
5.124954 0.99967461 0.004955
5.130542 0.99508458 0.003419
5.142662 0.99261115 0.004675
5.149945 0.98983139 0.006616
5.161416 1.00137391 0.006387
5.162909 0.99343677 0.005824
5.207158 0.99546637 0.005244
5.228565 1.01867619 0.004670
5.232849 0.99410717 0.007932
5.246869 0.98868346 0.006834
5.318977 0.98827883 0.004035
5.320459 0.98271141 0.004429
5.334180 0.99005239 0.004957
5.348677 0.99634689 0.005717
5.379966 0.99135193 0.007945
5.386636 0.99175312 0.006986
5.398559 0.98247360 0.004079
5.405988 0.98765984 0.007857
5.439896 0.98114560 0.004168
5.460427 0.98849105 0.007023
5.477977 0.99223470 0.004386
5.479203 0.99515008 0.003051
5.483874 0.98911692 0.007086
5.484516 0.98929714 0.006075
5.501887 0.98148314 0.006004
5.509701 0.98111883 0.003662
5.531081 0.98770997 0.004838
5.537141 0.98562192 0.005069
5.541838 0.98586989 0.003608
5.573377 0.98876202 0.007961
5.584033 0.98871430 0.004185
5.588972 0.98470178 0.004976
5.599029 0.99184467 0.003016
5.635088 0.97693986 0.003526
5.696798 0.97965517 0.007727
5.706119 0.98283425 0.005853
5.727887 0.97645240 0.007230
5.729397 0.97712769 0.004359
5.806228 0.97797620 0.004894
5.830539 0.97626337 0.007273
5.852202 0.98269875 0.004415
5.852730 0.98317657 0.006917
5.868415 0.98798411 0.003304
5.878738 0.97692674 0.007500
5.901451 0.98570093 0.006155
5.939320 0.97733126 0.007672
5.967057 0.98845473 0.004843
5.968545 0.97625518 0.006563
6.013595 0.97532183 0.003763
6.028728 0.97228987 0.006803
6.063255 0.97248348 0.004617
6.117169 0.97017541 0.006666
6.169508 0.98000601 0.006483
6.192949 0.98671615 0.005816
6.213308 0.97559212 0.005574
6.233297 0.97384808 0.005757
6.240115 0.97103974 0.006221
6.241013 0.96611852 0.003007
6.290879 0.97946630 0.007132
6.302252 0.97656249 0.004956
6.303652 0.97943720 0.007556
6.352141 0.98257368 0.006199
6.362320 0.98439810 0.003364
6.382806 0.97264140 0.006326
6.392902 0.98010511 0.005082
6.424062 0.97169855 0.007764
6.432709 0.97135742 0.003511
6.458830 0.97681240 0.006029
6.477560 0.96678159 0.006526
6.484127 0.98104150 0.007972
6.529115 0.98084513 0.005704
6.534088 0.97672456 0.007319
6.537884 0.98264891 0.003373
6.569934 0.97494009 0.005353
6.698692 0.97509848 0.007541
6.747215 0.96800406 0.005295
6.761964 0.97106306 0.006010
6.767736 0.97552539 0.004411
6.785501 0.96564525 0.005297
6.809030 0.97046420 0.003187
6.818512 0.98088423 0.003101
6.826566 0.98073806 0.004295
6.872967 0.98309349 0.007705
6.878730 0.97208566 0.005932
6.886669 0.99145615 0.003918
6.888306 0.97483053 0.004864
6.897394 0.97580630 0.005063
6.903409 0.98306261 0.003085
6.911194 0.97912937 0.004743
6.928525 0.97926897 0.007001
6.938362 0.97958707 0.004726
7.100756 0.98665695 0.005679
7.160819 0.97887864 0.005661
7.180040 0.98078692 0.003480
7.180070 0.99371411 0.006101
7.225988 0.98504316 0.006536
7.228395 0.98879787 0.005860
7.230140 0.98683627 0.005821
7.231929 0.98468226 0.007699
7.272887 0.97947453 0.003164
7.304464 0.98465714 0.005566
7.335106 0.97621014 0.003286
7.343338 1.00244075 0.007291
7.361413 0.99174200 0.007187
7.383303 0.98234988 0.006666
7.461704 0.98731624 0.007727
7.502463 0.99140199 0.006063
7.527667 0.99773948 0.007178
7.560657 0.99415242 0.004506
7.570313 0.98732369 0.007156
7.575017 0.99093669 0.005182
7.618316 0.98927055 0.006315
7.619713 0.99513049 0.003964
7.625677 0.99931211 0.006893
7.626460 0.99445707 0.004067
7.634904 0.99732967 0.003879
7.671303 0.99310325 0.006307
7.685287 0.99452873 0.006831
7.695841 0.99840994 0.004450
7.705694 1.00148508 0.005318
7.715327 0.99456442 0.003157
7.748704 0.99627029 0.005516
7.770914 0.99214317 0.004416
7.826480 0.99711608 0.006384
7.853746 1.00807410 0.005021
7.866409 1.01330434 0.006295
7.867897 0.99507660 0.004844
7.893022 0.99786899 0.003002
7.905071 1.00329210 0.006300
7.928422 0.99754953 0.003716
7.943177 1.00642604 0.004555
7.949028 1.00199862 0.007179
7.964719 1.00684646 0.007630
7.988317 1.01364026 0.005707
8.050639 1.01219376 0.006030
8.056941 1.01401912 0.004198
8.062091 1.00728483 0.004317
8.062209 1.00647856 0.004069
8.065204 1.01650526 0.007507
8.121388 1.00439803 0.004745
8.161774 1.01135420 0.005801
8.181443 1.01229838 0.005076
8.193586 1.01056336 0.007534
8.237235 1.01346222 0.006685
8.241579 1.00690238 0.007560
8.293035 1.01986270 0.006357
8.299086 1.01752073 0.003375
8.309722 1.01090384 0.006701
8.311213 1.02380458 0.006286
8.331626 1.02004204 0.005217
8.356633 1.01853693 0.007686
8.361599 1.01487518 0.003601
8.362627 1.02275684 0.004926
8.383995 1.01506331 0.005221
8.433577 1.01805502 0.003643
8.466768 1.02196866 0.003527
8.476734 1.02356906 0.003023
8.477682 1.02455007 0.003457
8.477841 1.02203397 0.007787
8.572400 1.01824330 0.005894
8.592180 1.01961784 0.004387
8.641174 1.01009872 0.004388
8.642370 1.02116402 0.003014
8.650411 1.01472633 0.005233
8.685545 1.01916055 0.004554
8.691464 1.01901077 0.004938
8.697404 1.05103220 0.004580
8.711454 1.02153211 0.006817
8.714789 1.03524767 0.004122
8.748670 1.03077707 0.007387
8.773466 1.02878156 0.004735
8.810368 1.02649737 0.004254
8.837263 1.03022698 0.007565
8.857369 1.03098226 0.007459
8.892614 1.02288754 0.007230
8.924677 1.02368227 0.004436
8.943146 1.02909999 0.004117
8.964984 1.01932624 0.004434
8.975121 1.02424598 0.004704
8.979587 1.02374985 0.007091
8.979924 1.02662723 0.004460
8.980557 1.02476460 0.003103
9.042904 1.02334659 0.006752
9.089096 1.02797762 0.003342
9.102253 1.02460617 0.006078
9.115630 1.02160822 0.006363
9.128429 1.02185364 0.007015
9.133535 1.03043985 0.005141
9.136610 1.02465756 0.004628
9.149524 1.02257786 0.007870
9.157170 1.02026904 0.004598
9.174414 1.02179822 0.007303
9.179061 1.02080758 0.003591
9.192450 1.02225081 0.003748
9.201987 1.02003876 0.005853
9.262776 1.02020751 0.005592
9.269760 1.02554616 0.007723
9.279272 1.02330402 0.005969
9.282219 1.02021477 0.003456
9.312070 1.02775822 0.006366
9.328137 1.03006541 0.006909
9.340499 1.02639323 0.003461
9.379609 1.02026580 0.003812
9.413385 1.02436343 0.004442
9.457179 1.02044372 0.005042
9.457877 1.02028670 0.004109
9.488318 1.02035541 0.005505
9.498004 1.02619048 0.005200
9.551911 1.02464857 0.007330
9.554101 1.01721485 0.003104
9.570230 1.01404070 0.004166
9.573672 1.03396615 0.007808
9.594879 1.03249387 0.004512
9.600191 1.02185841 0.007407
9.605654 1.02558871 0.003926
9.619117 1.01351735 0.005130
9.652347 1.02877213 0.007750
9.653023 1.02079175 0.005012
9.691955 1.02256961 0.003181
9.730776 1.01766526 0.007333
9.760043 1.01977665 0.006717
9.772509 1.01457698 0.005933
9.780614 1.03313830 0.004720
9.805876 1.02603670 0.006027
9.810483 1.01954277 0.007094
9.826030 1.02311284 0.007285
9.850866 1.01737303 0.006705
9.851136 1.01212811 0.007652
9.897845 1.01847017 0.006572
9.917451 1.02679628 0.005533
9.925970 1.01976146 0.004277
9.966028 1.01849379 0.006550
9.967251 1.01694197 0.006706
9.970544 1.08147506 0.003541
9.996061 1.01627147 0.007509
10.023518 1.01268197 0.003021
10.030988 1.01132407 0.003225
10.036062 1.01186277 0.005477
10.042290 1.01200464 0.006365
10.047663 1.01178923 0.004102
10.048842 1.00899244 0.006644
10.063566 1.01879569 0.005104
10.066203 1.01533271 0.003927
10.069114 1.01759606 0.007444
10.082579 1.01969672 0.006349
10.085306 1.01976905 0.007763
10.087157 1.01467191 0.003915
10.100244 1.01483183 0.006949
10.136370 1.00097528 0.007974
10.149022 1.00358759 0.004775
10.151449 1.00303860 0.005932
10.172585 1.01564097 0.007802
10.174623 1.01516905 0.006157
10.181761 1.00827959 0.003457
10.194405 1.01036104 0.006406
10.204866 1.01712226 0.007050
10.251692 1.01139746 0.004048
10.261117 1.01747937 0.007818
10.296486 1.00717796 0.006529
10.298411 1.01857282 0.004012
10.318431 1.00315035 0.003871
10.335364 1.01686783 0.004709
10.378770 1.00284361 0.007687
10.388883 1.01099712 0.006662
10.406943 1.01172417 0.007844
10.427200 1.01218560 0.006423
10.441838 1.00697216 0.006205
10.456216 1.00850447 0.004005
10.505566 1.00856929 0.006419
10.518273 1.01552302 0.006577
10.527112 1.01631900 0.003195
10.533885 1.00472332 0.006181
10.537927 1.00754072 0.004191
10.548491 1.00868332 0.005783
10.636577 1.00062600 0.005575
10.654523 0.99967715 0.005666
10.656281 1.00975579 0.007780
10.659044 1.00483170 0.004851
10.675114 1.00755110 0.003910
10.683055 1.02305482 0.006318
10.732248 1.00450560 0.003240
10.750733 1.00156463 0.005944
10.759373 1.00427596 0.007929
10.765796 1.00841999 0.006122
10.781175 1.00390185 0.007302
10.788144 1.00173829 0.003979
10.812821 1.00146294 0.006829
10.924991 1.00086012 0.004234
10.931314 0.99329112 0.005899
10.990245 0.99777193 0.003720
10.998224 0.99824299 0.007869
11.009764 1.00124002 0.004637
11.030372 1.00382113 0.005284
11.209823 1.00036382 0.005660
11.214875 1.00138303 0.007632
11.228898 1.00457476 0.004254
11.239273 1.00565684 0.003730
11.244245 0.99767567 0.004111
11.277854 1.00800525 0.005443
11.279559 1.05626737 0.003022
11.282894 1.01501035 0.005494
11.287620 0.99741098 0.006588
11.291792 1.00235265 0.006439
11.296890 1.00832184 0.005059
11.304011 0.99776998 0.003159
11.317922 0.99105066 0.003105
11.362367 1.00887845 0.004534
11.369402 0.99797345 0.004689
11.370426 0.99901513 0.007297
11.407683 0.98927539 0.005872
11.414411 1.00665073 0.004161
11.430558 1.00683489 0.005095
11.445641 1.00262229 0.005277
11.447388 1.00319631 0.004384
11.458881 1.00011585 0.007851
11.463902 1.00395756 0.004084
11.497431 1.00200212 0.006182
11.542293 0.99485844 0.005848
11.551669 1.00153102 0.004318
11.555035 0.99819288 0.005777
11.580247 0.99093786 0.007383
11.640155 1.00118638 0.004105
11.661149 1.00337630 0.003303
11.666259 0.99431375 0.006352
11.709541 1.00865531 0.005301
11.710853 1.00570863 0.003017
11.784704 1.00318812 0.005039
11.790222 1.00526556 0.006830
11.800754 0.99657537 0.004369
11.831439 0.99511175 0.007970
11.840333 1.00507204 0.004036
11.845884 1.00330434 0.005671
11.857357 1.00144364 0.005575
11.857406 1.00401486 0.003819
11.874908 0.99724056 0.005719
11.891703 1.01281238 0.004427
11.955556 0.99731394 0.006719
11.963667 1.00671058 0.003198
12.038986 1.00390299 0.006485
12.041447 0.99292572 0.005849
12.044209 1.00223890 0.003458
12.083052 0.99283213 0.003678
12.095565 0.99778807 0.004374
12.112075 1.00392106 0.003021
12.122863 0.99611585 0.007015
12.128331 0.98938872 0.007236
12.138854 0.99863537 0.004193
12.142156 1.00389371 0.006612
12.180152 0.99975701 0.005766
12.189335 0.99912701 0.005419
12.189672 1.00084792 0.003768
12.221292 1.00253723 0.006028
12.228730 0.99685387 0.006901
12.302168 0.99826955 0.005905
12.322453 1.00758908 0.005363
12.378381 0.99935574 0.003584
12.396558 0.99788494 0.006295
12.408528 1.00051590 0.005502
12.435015 1.00018726 0.006189
12.474177 0.99514416 0.004077
12.475709 0.99977945 0.005776
12.499905 0.99913060 0.006006
12.605452 1.00108129 0.003475
12.607161 0.99940561 0.003812
12.663315 0.99883576 0.003590
12.698603 1.00038869 0.003759
12.740071 0.99533710 0.004525
12.766314 0.99786576 0.006874
12.790792 0.99141923 0.006166
12.793159 0.98963398 0.007715
12.831661 1.00018473 0.007160
12.912371 0.99588550 0.007260
12.927653 0.99339774 0.003624
12.938893 0.99319004 0.006981
12.968327 0.98766774 0.006540
12.972812 0.99112611 0.004530
12.990420 0.98991041 0.007614
12.992867 0.99385145 0.003442
12.993802 0.98991770 0.006043
13.033702 0.99831088 0.004963
13.037327 0.98913361 0.006295
13.046840 0.99020150 0.006202
13.052298 0.98819293 0.007955
13.106218 0.98811306 0.004066
13.106516 0.98949047 0.004138
13.139472 0.98155742 0.006184
13.150297 0.99100032 0.006587
13.184731 0.98171386 0.003181
13.212025 0.98511131 0.006948
13.218470 0.98836231 0.007202
13.245983 0.99370378 0.004265
13.275183 0.98455029 0.004253
13.299744 0.98316090 0.004836
13.307225 0.95314358 0.004715
13.308522 0.99437175 0.003811
13.308873 0.98983556 0.004543
13.340357 0.99760225 0.007053
13.360852 0.99273509 0.004659
13.403534 0.98242731 0.003274
13.434349 0.98238195 0.007208
13.502095 0.98328472 0.006256
13.544717 0.98654976 0.003218
13.547509 0.98269321 0.004758
13.568214 0.97614124 0.006950
13.572701 0.98274601 0.006828
13.577454 0.97605401 0.007498
13.582892 0.98386784 0.007062
13.584038 0.97536698 0.007326
13.585155 0.97955517 0.005764
13.587627 0.98356056 0.003734
13.601779 0.97613663 0.004660
13.618052 0.98271681 0.006951
13.642586 0.97953296 0.006640
13.651382 0.97412623 0.003762
13.662594 0.97583828 0.007911
13.756771 0.98033194 0.006432
13.757978 0.98906081 0.003144
13.782939 0.97015363 0.007851
13.788349 0.97487568 0.007022
13.793273 0.97481629 0.006210
13.867640 0.97536770 0.006037
13.917619 0.97462872 0.003184
13.980588 0.97228178 0.003809
14.018821 0.97861697 0.003416
14.019177 0.98158625 0.005287
14.036707 0.97602471 0.006457
14.052403 0.97695748 0.007474
14.078476 0.97666203 0.003946
14.101146 0.97078287 0.006290
14.125689 0.97546800 0.007072
14.135352 0.96105519 0.007225
14.136261 0.97375520 0.003542
14.145817 0.97128851 0.006595
14.148667 0.97601311 0.004467
14.165802 0.97921261 0.006651
14.182244 0.96222483 0.007677
14.193466 0.97503102 0.007405
14.200590 0.97649063 0.004339
14.266381 0.98136012 0.007051
14.271515 0.98177689 0.007402
14.305483 0.97285932 0.005879
14.312960 0.97603536 0.006070
14.342894 0.97617935 0.006758
14.393915 0.97472771 0.003440
14.406156 0.96721499 0.006431
14.417997 0.96606724 0.006176
14.476660 0.97243820 0.007889
14.493352 0.97254167 0.005096
14.523424 0.97584460 0.003461
14.560343 0.97132363 0.006696
14.638249 0.96489022 0.007737
14.638866 0.96561160 0.006186
14.669106 0.96992957 0.005579
14.683156 0.97963616 0.003202
14.713522 0.97736406 0.005383
14.721139 0.96674575 0.003380
14.731741 0.97726329 0.004979
14.736318 0.97366267 0.003066
14.815812 0.97693352 0.003865
14.827572 0.97613169 0.006741
14.829526 0.98171551 0.005025
14.842615 0.97563762 0.003470
14.881432 0.97410031 0.007017
14.884636 0.98992033 0.005506
14.888172 0.97657901 0.007804
14.934334 0.98015709 0.006602
14.948674 0.98727244 0.007742
14.982852 0.98771673 0.007714
15.012752 0.98480129 0.006999
15.034422 0.97985624 0.004357
15.053949 0.99382040 0.007749
15.059048 0.98102553 0.006208
15.059570 0.97717459 0.006109
15.078806 0.98337774 0.005476
15.084464 0.98377027 0.007609
15.086207 0.98530009 0.005949
15.097207 0.98764193 0.007356
15.102188 0.97577901 0.006431
15.114640 0.98618229 0.003627
15.117420 0.98060414 0.007551
15.159637 0.98478866 0.003389
15.177105 0.99801131 0.006462
15.216429 0.99342068 0.005198
15.217122 0.98115840 0.006386
15.230300 0.99069016 0.005205
15.276859 0.97995266 0.004014
15.298420 0.99486145 0.007560
15.300488 0.98208878 0.005464
15.301582 0.99106233 0.003062
15.312453 0.98702033 0.003367
15.317852 0.98962476 0.007431
15.346173 0.98970569 0.007936
15.367910 0.99144827 0.007711
15.369030 0.99294613 0.005636
15.374191 0.99676982 0.007555
15.417612 0.98230905 0.005918
15.433658 0.98398435 0.005849
15.468713 1.00173088 0.003762
15.478076 0.99072136 0.003334
15.481513 0.99608887 0.005034
15.491103 0.99772147 0.007812
15.491319 0.99808017 0.004698
15.520781 1.00077285 0.003732
15.565325 0.99721629 0.005761
15.575591 1.00383930 0.006107
15.596693 0.99275999 0.003224
15.611506 1.00009082 0.006265
15.620056 1.00546582 0.005135
15.620922 1.01209922 0.003046
15.624645 1.00163106 0.004176
15.638641 1.00205765 0.005421
15.639180 0.99743246 0.007150
15.642026 1.00595245 0.007893
15.657730 1.01242677 0.005622
15.704157 1.00844528 0.004714
15.707141 0.99702719 0.006677
15.707905 0.98865717 0.007352
15.720019 0.95765920 0.005508
15.723454 1.00491889 0.004992
15.725930 1.00696762 0.006341
15.750603 1.00756018 0.005489
15.765162 1.00035083 0.007446
15.794659 1.00571160 0.007420
15.898050 1.01031975 0.003056
15.898962 1.00804567 0.005624
15.908937 1.01087602 0.006107
15.929013 1.01825270 0.005092
15.962764 1.01158658 0.005790
15.980145 1.01670421 0.007507
15.981001 1.00678276 0.007931
15.994780 1.01385685 0.005076
16.010906 1.01762805 0.007059
16.026300 1.01670645 0.005854
16.034011 1.01251183 0.006890
16.075270 1.01568704 0.005757
16.081083 1.01790317 0.006482
16.108428 1.02169766 0.003395
16.113150 1.02049297 0.003173
16.187100 1.01385640 0.006274
16.191233 1.01589799 0.005919
16.197103 1.01606684 0.004736
16.214481 1.02078818 0.004850
16.233931 1.02069350 0.006097
16.250656 1.01740753 0.003459
16.272864 1.02425862 0.005241
16.287771 1.01615469 0.003262
16.293791 1.02405440 0.007112
16.323801 1.00999933 0.004952
16.347420 1.02437598 0.004492
16.375710 1.02614258 0.003190
16.393886 1.01386393 0.005115
16.416659 1.02114221 0.006869
16.433877 1.02016348 0.004991
16.454827 1.01597587 0.007333
16.477764 1.01719954 0.006132
16.498135 1.01515248 0.003385
16.501470 1.02638235 0.006631
16.536513 1.02517896 0.003281
16.537628 1.02051762 0.005613
16.591874 1.03302183 0.004908
16.629036 1.02338765 0.005503
16.651934 1.01897043 0.005887
16.704129 1.03169097 0.007969
16.713871 1.01684414 0.007926
16.731200 1.02634205 0.007168
16.747524 1.02968468 0.003522
16.768226 1.01959092 0.003793
16.786332 1.02864512 0.004721
16.823402 1.02583625 0.004427
16.838743 1.02915797 0.004811
16.852847 1.01685657 0.007925
16.857673 1.02853242 0.005812
16.865514 1.02184044 0.005490
16.896820 1.01926621 0.006823
16.914721 1.01532423 0.006113
16.926474 1.02709490 0.005374
16.933054 1.02158876 0.003343
16.972527 1.02232221 0.003853
16.989923 1.02224208 0.003934
17.019119 1.02519098 0.003035
17.019571 1.03128740 0.004423
17.027161 1.02944193 0.003411
17.028401 1.01768709 0.005725
17.048122 1.02117740 0.003390
17.068258 1.02568808 0.006908
17.089624 1.02318311 0.006056
17.100781 1.01961730 0.004016
17.148212 1.01516939 0.007621
17.157327 1.02363617 0.004195
17.182196 1.02142103 0.005846
17.184924 1.02820634 0.003920
17.219063 1.02946961 0.005599
17.222987 1.03372370 0.005200
17.266242 1.02372524 0.003370
17.306741 1.02436043 0.006740
17.320889 1.03135878 0.006970
17.374627 1.02563611 0.003200
17.391640 1.01531083 0.004960
17.413817 1.01649888 0.004613
17.419386 1.02585400 0.006510
17.480405 1.02426924 0.006818
17.529485 1.01840089 0.003779
17.560894 1.02437181 0.005670
17.562710 1.01980069 0.004616
17.570195 1.01072813 0.004556
17.627512 1.02123418 0.007813
17.662838 1.01284383 0.006618
17.665236 1.01916222 0.005533
17.669661 1.02472017 0.004020
17.671075 1.02024709 0.004386
17.710237 1.02044633 0.005585
17.768577 1.00388133 0.003494
17.784722 1.00981253 0.005264
